case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V2R8,"matmul(T_ABC,D)",1652347206.629303,1652347206.632118,"[300, 4000, 30, 320, 3000]",4
V4R61,"matmul(C,D)",1652347206.633587,1652347206.634086,"[300, 4000, 30, 320, 3000]",4
V4R61,"matmul(B,T_CD)",1652347206.634086,1652347206.63954,"[300, 4000, 30, 320, 3000]",4
V4R61,"matmul(A,T_BCD)",1652347206.63954,1652347206.681516,"[300, 4000, 30, 320, 3000]",4
V1R60,"matmul(A,B)",1652347206.682328,1652347206.682939,"[300, 4000, 30, 320, 3000]",4
V1R60,"matmul(T_AB,C)",1652347206.682939,1652347206.683108,"[300, 4000, 30, 320, 3000]",4
V1R60,"matmul(T_ABC,D)",1652347206.683108,1652347206.685897,"[300, 4000, 30, 320, 3000]",4
V4R29,"matmul(C,D)",1652347206.687134,1652347206.687712,"[300, 4000, 30, 320, 3000]",4
V4R29,"matmul(B,T_CD)",1652347206.687712,1652347206.6919,"[300, 4000, 30, 320, 3000]",4
V4R29,"matmul(A,T_BCD)",1652347206.6919,1652347206.73055,"[300, 4000, 30, 320, 3000]",4
V1R2,"matmul(A,B)",1652347206.731378,1652347206.732004,"[300, 4000, 30, 320, 3000]",4
V1R2,"matmul(T_AB,C)",1652347206.732004,1652347206.732131,"[300, 4000, 30, 320, 3000]",4
V1R2,"matmul(T_ABC,D)",1652347206.732131,1652347206.734871,"[300, 4000, 30, 320, 3000]",4
V4R60,"matmul(C,D)",1652347206.736044,1652347206.736623,"[300, 4000, 30, 320, 3000]",4
V4R60,"matmul(B,T_CD)",1652347206.736623,1652347206.740883,"[300, 4000, 30, 320, 3000]",4
V4R60,"matmul(A,T_BCD)",1652347206.740883,1652347206.772552,"[300, 4000, 30, 320, 3000]",4
V4R6,"matmul(C,D)",1652347206.773513,1652347206.774032,"[300, 4000, 30, 320, 3000]",4
V4R6,"matmul(B,T_CD)",1652347206.774032,1652347206.778178,"[300, 4000, 30, 320, 3000]",4
V4R6,"matmul(A,T_BCD)",1652347206.778178,1652347206.807116,"[300, 4000, 30, 320, 3000]",4
V1R34,"matmul(A,B)",1652347206.807891,1652347206.808451,"[300, 4000, 30, 320, 3000]",4
V1R34,"matmul(T_AB,C)",1652347206.808451,1652347206.808549,"[300, 4000, 30, 320, 3000]",4
V1R34,"matmul(T_ABC,D)",1652347206.808549,1652347206.811219,"[300, 4000, 30, 320, 3000]",4
V4R46,"matmul(C,D)",1652347206.81237,1652347206.81295,"[300, 4000, 30, 320, 3000]",4
V4R46,"matmul(B,T_CD)",1652347206.81295,1652347206.81663,"[300, 4000, 30, 320, 3000]",4
V4R46,"matmul(A,T_BCD)",1652347206.81663,1652347206.848106,"[300, 4000, 30, 320, 3000]",4
V2R61,"matmul(B,C)",1652347206.848951,1652347206.849496,"[300, 4000, 30, 320, 3000]",4
V2R61,"matmul(A,T_BC)",1652347206.849496,1652347206.853047,"[300, 4000, 30, 320, 3000]",4
V2R61,"matmul(T_ABC,D)",1652347206.853047,1652347206.855826,"[300, 4000, 30, 320, 3000]",4
V1R9,"matmul(A,B)",1652347206.856945,1652347206.857471,"[300, 4000, 30, 320, 3000]",4
V1R9,"matmul(T_AB,C)",1652347206.857471,1652347206.857635,"[300, 4000, 30, 320, 3000]",4
V1R9,"matmul(T_ABC,D)",1652347206.857635,1652347206.860166,"[300, 4000, 30, 320, 3000]",4
V4R38,"matmul(C,D)",1652347206.861204,1652347206.861684,"[300, 4000, 30, 320, 3000]",4
V4R38,"matmul(B,T_CD)",1652347206.861684,1652347206.865627,"[300, 4000, 30, 320, 3000]",4
V4R38,"matmul(A,T_BCD)",1652347206.865627,1652347206.895086,"[300, 4000, 30, 320, 3000]",4
V5R22,"matmul(A,B)",1652347206.896054,1652347206.896868,"[300, 4000, 30, 320, 3000]",4
V5R22,"matmul(C,D)",1652347206.896868,1652347206.896869,"[300, 4000, 30, 320, 3000]",4
V5R22,"matmul(T_AB,T_CD)",1652347206.896869,1652347206.897317,"[300, 4000, 30, 320, 3000]",4
V3R53,"matmul(B,C)",1652347206.898369,1652347206.898977,"[300, 4000, 30, 320, 3000]",4
V3R53,"matmul(T_BC,D)",1652347206.898977,1652347206.928053,"[300, 4000, 30, 320, 3000]",4
V3R53,"matmul(A,T_BCD)",1652347206.928053,1652347206.96294,"[300, 4000, 30, 320, 3000]",4
V1R14,"matmul(A,B)",1652347206.964762,1652347206.965319,"[300, 4000, 30, 320, 3000]",4
V1R14,"matmul(T_AB,C)",1652347206.965319,1652347206.965439,"[300, 4000, 30, 320, 3000]",4
V1R14,"matmul(T_ABC,D)",1652347206.965439,1652347206.968667,"[300, 4000, 30, 320, 3000]",4
V3R61,"matmul(B,C)",1652347206.96972,1652347206.970231,"[300, 4000, 30, 320, 3000]",4
V3R61,"matmul(T_BC,D)",1652347206.970231,1652347207.00888,"[300, 4000, 30, 320, 3000]",4
